t,class,conf,area,infer_ms,e2e_ms,fired
1783028627.572,,,,132.6,137.5,
1783028627.705,,,,54.2,88.3,
1783028627.759,,,,53.8,87.7,
1783028627.813,,,,53.9,98.1,
1783028627.868,,,,48.6,95.5,
1783028627.917,,,,45.7,90.3,
1783028627.962,,,,47.4,84.0,
1783028628.010,,,,46.2,77.5,
1783028628.056,,,,47.9,75.9,
1783028628.104,,,,47.0,73.0,
1783028628.151,,,,36.6,57.6,
1783028628.187,,,,51.7,60.7,
1783028628.239,,,,47.1,57.1,
1783028628.287,,,,51.6,57.7,
1783028628.339,,,,51.7,56.9,
1783028628.390,,,,54.2,63.2,
1783028628.445,,,,48.9,56.9,
1783028628.494,,,,50.0,57.6,
1783028628.544,,,,48.7,56.7,
1783028628.592,,,,57.5,60.5,
1783028628.650,,,,52.9,65.8,
1783028628.704,,,,51.9,70.2,
1783028628.756,,,,51.3,71.8,
1783028628.807,,,,53.5,71.6,
1783028628.861,,,,48.3,69.3,
1783028628.910,,,,52.0,73.2,
1783028628.962,,,,51.9,71.9,
1783028629.014,,,,55.4,75.4,
1783028629.069,,,,50.8,76.8,
1783028629.120,,,,49.6,76.5,
1783028629.170,,,,49.3,78.3,
1783028629.219,,,,51.7,76.7,
1783028629.271,,,,49.6,76.6,
1783028629.320,,,,48.2,76.5,
1783028629.368,,,,57.0,78.5,
1783028629.425,,,,51.4,78.4,
1783028629.477,,,,52.6,79.6,
1783028629.529,,,,56.2,85.8,
1783028629.586,,,,55.2,89.2,
1783028629.642,,,,54.2,91.4,
1783028629.696,,,,49.2,91.4,
1783028629.745,,,,52.3,93.5,
1783028629.798,,,,53.3,97.2,
1783028629.851,,,,54.7,100.7,
1783028629.905,,,,53.1,54.1,
1783028629.960,,,,50.8,55.8,
1783028630.010,,,,48.9,51.9,
1783028630.059,,,,48.0,50.4,
1783028630.113,,,,53.6,58.6,
1783028630.167,,,,46.0,53.0,
1783028630.213,,,,50.9,54.9,
1783028630.264,,,,54.6,58.7,
1783028630.318,,,,52.7,60.7,
1783028630.371,,,,50.0,60.7,
1783028630.421,,,,53.4,61.8,
1783028630.474,,,,49.0,59.1,
1783028630.523,,,,52.0,59.0,
1783028630.575,,,,51.9,64.9,
1783028630.627,,,,53.3,67.3,
1783028630.680,,,,49.0,66.3,
1783028630.729,,,,51.2,65.1,
1783028630.782,,,,50.4,69.4,
1783028630.832,,,,68.0,82.4,
1783028630.900,,,,51.9,86.8,
1783028630.953,,,,51.5,83.1,
1783028631.004,,,,52.4,86.9,
1783028631.057,,,,54.5,94.7,
1783028631.111,,,,54.8,89.8,
1783028631.166,,,,56.1,95.9,
1783028631.222,,,,59.1,110.2,
1783028631.282,,,,64.6,67.8,
1783028631.347,,,,65.4,80.9,
1783028631.412,,,,67.2,96.2,
1783028631.480,,,,69.0,71.0,
1783028631.549,,,,66.8,83.8,
1783028631.615,,,,67.8,102.4,
1783028631.684,,,,64.6,67.6,
1783028631.750,,,,67.4,84.4,
1783028631.817,,,,71.0,103.2,
1783028631.888,,,,69.0,127.4,
1783028631.957,,,,64.4,90.3,
1783028632.023,,,,65.3,106.5,
1783028632.089,,,,63.0,65.0,
1783028632.152,,,,63.6,79.6,
1783028632.216,,,,52.6,78.0,
1783028632.268,,,,59.0,86.1,
1783028632.327,,,,48.3,86.3,
1783028632.375,,,,48.3,82.4,
1783028632.424,,,,45.9,79.0,
1783028632.470,,,,51.4,82.2,
1783028632.521,,,,46.7,76.2,
1783028632.568,,,,47.0,67.0,
1783028632.615,,,,46.5,66.5,
1783028632.661,,,,49.5,64.5,
1783028632.711,,,,51.5,69.0,
1783028632.762,,,,51.9,65.4,
1783028632.814,,,,55.0,71.0,
1783028632.869,,,,56.3,77.3,
1783028632.925,,,,53.6,82.4,
1783028632.979,,,,49.6,83.8,
1783028633.029,,,,51.1,82.7,
1783028633.080,,,,58.5,93.0,
1783028633.138,,,,53.8,93.4,
1783028633.192,,,,58.6,100.5,
1783028633.251,,,,53.3,102.3,
1783028633.304,,,,48.6,52.1,
1783028633.352,,,,53.4,53.4,
1783028633.406,,,,50.2,51.2,
1783028633.462,,,,46.7,51.8,
1783028633.509,,,,48.0,51.0,
1783028633.563,,,,47.0,53.3,
1783028633.611,,,,43.0,46.0,
1783028633.660,,,,48.3,50.9,
1783028633.714,,,,42.5,45.5,
1783028633.763,,,,44.5,50.0,
1783028633.820,,,,46.0,47.5,
1783028633.866,,,,44.5,52.5,
1783028633.917,,,,46.1,49.6,
1783028633.969,,,,44.6,49.7,
1783028634.019,,,,53.6,58.6,
1783028634.073,,,,47.7,53.9,
1783028634.120,,,,46.4,51.9,
1783028634.168,,,,44.0,48.3,
1783028634.223,,,,47.5,53.0,
1783028634.271,,,,46.0,49.0,
1783028634.322,,,,54.3,57.8,
1783028634.376,,,,53.6,64.2,
1783028634.431,,,,53.5,68.0,
1783028634.485,,,,53.8,70.9,
1783028634.538,,,,47.0,68.1,
1783028634.586,,,,42.2,59.3,
1783028634.629,,,,49.7,55.7,
1783028634.678,,,,43.5,49.5,
1783028634.728,,,,45.0,48.5,
1783028634.778,,,,47.6,49.1,
1783028634.832,,,,49.3,54.7,
1783028634.882,,,,52.1,57.1,
1783028634.934,,,,46.9,51.3,
1783028634.981,,,,50.6,53.0,
1783028635.032,,,,49.9,50.9,
1783028635.088,,,,45.7,50.7,
1783028635.134,,,,46.3,50.3,
1783028635.186,,,,47.3,48.3,
1783028635.239,,,,44.8,50.1,
1783028635.289,,,,54.3,59.3,
1783028635.344,,,,50.9,61.0,
1783028635.395,,,,44.3,53.3,
1783028635.439,,,,42.9,48.8,
1783028635.488,,,,45.8,46.3,
1783028635.539,,,,45.0,48.0,
1783028635.591,,,,47.0,50.5,
1783028635.643,,,,51.1,56.3,
1783028635.694,,,,54.2,57.2,
1783028635.750,,,,51.8,58.8,
1783028635.801,,,,48.6,58.6,
1783028635.851,,,,47.1,57.1,
1783028635.898,,,,46.5,50.1,
1783028635.945,,,,46.3,48.3,
1783028635.998,,,,46.4,50.0,
1783028636.050,,,,48.1,51.6,
1783028636.099,,,,47.5,50.5,
1783028636.152,,,,48.8,53.8,
1783028636.201,,,,48.6,51.8,
1783028636.249,,,,56.8,58.7,
1783028636.306,,,,46.8,53.0,
1783028636.354,,,,46.0,51.0,
1783028636.405,,,,45.1,49.6,
1783028636.451,,,,47.2,49.2,
1783028636.504,,,,48.5,51.7,
1783028636.558,,,,48.9,54.0,
1783028636.607,,,,46.4,49.4,
1783028636.665,,,,49.0,52.5,
1783028636.714,,,,44.8,59.8,
1783028636.771,,,,46.0,51.5,
1783028636.817,,,,47.7,63.0,
1783028636.865,,,,46.0,58.0,
1783028636.911,,,,49.0,56.0,
1783028636.960,,,,47.0,53.0,
1783028637.013,,,,48.5,51.0,
1783028637.067,,,,46.6,51.9,
1783028637.114,,,,48.5,49.5,
1783028637.168,,,,46.1,50.1,
1783028637.220,,,,48.6,54.2,
1783028637.270,,,,45.2,47.2,
1783028637.320,,,,48.7,53.2,
1783028637.369,,,,45.9,47.9,
1783028637.421,,,,45.2,47.2,
1783028637.472,,,,48.6,51.6,
1783028637.521,,,,51.8,52.8,
1783028637.572,,,,48.1,50.7,
1783028637.626,,,,44.5,48.0,
1783028637.670,,,,47.6,47.6,
1783028637.724,,,,44.5,48.5,
1783028637.774,,,,45.0,47.0,
1783028637.830,,,,47.9,53.0,
1783028637.878,,,,47.2,51.3,
1783028637.931,,,,46.1,51.4,
1783028637.977,,,,48.5,49.5,
1783028638.031,,,,51.6,57.1,
1783028638.084,,,,51.4,58.7,
1783028638.135,,,,53.4,57.4,
1783028638.189,,,,51.1,58.9,
1783028638.240,,,,50.8,56.8,
1783028638.290,,,,50.1,58.5,
1783028638.341,,,,53.0,61.0,
1783028638.394,,,,51.6,61.6,
1783028638.445,,,,53.1,64.1,
1783028638.498,,,,51.7,64.7,
1783028638.551,,,,50.7,66.7,
1783028638.602,,,,50.6,66.7,
1783028638.652,,,,47.0,63.1,
1783028638.699,,,,48.5,61.5,
1783028638.748,,,,46.5,56.7,
1783028638.794,,,,48.4,55.0,
1783028638.843,,,,45.5,50.5,
1783028638.894,,,,44.5,47.5,
1783028638.944,,,,47.0,52.3,
1783028638.991,,,,44.5,45.5,
1783028639.041,,,,46.0,47.5,
1783028639.094,,,,47.5,51.5,
1783028639.142,,,,47.0,49.0,
1783028639.195,,,,46.3,47.3,
1783028639.247,,,,46.0,48.4,
1783028639.298,,,,49.2,51.2,
1783028639.347,,,,46.2,46.8,
1783028639.399,,,,47.5,49.5,
1783028639.453,,,,46.3,51.7,
1783028639.500,,,,48.3,48.3,
1783028639.554,,,,44.4,48.9,
1783028639.604,,,,45.5,48.5,
1783028639.655,,,,45.0,49.5,
1783028639.706,,,,51.6,56.1,
1783028639.759,,,,47.9,54.9,
1783028639.807,,,,52.6,57.7,
1783028639.860,,,,45.1,52.6,
1783028639.905,,,,45.1,47.1,
1783028639.956,,,,46.1,48.1,
1783028640.007,,,,45.2,46.7,
1783028640.058,,,,46.0,49.5,
1783028640.110,,,,43.3,45.8,
1783028640.159,,,,45.7,49.7,
1783028640.210,,,,46.5,50.0,
1783028640.263,,,,43.6,48.7,
1783028640.312,,,,44.5,47.0,
1783028640.362,,,,42.0,44.0,
1783028640.411,,,,47.0,48.0,
1783028640.463,,,,43.6,46.6,
1783028640.513,,,,50.5,54.0,
1783028640.570,,,,46.1,50.6,
1783028640.616,,,,47.6,49.6,
1783028640.669,,,,44.3,49.1,
1783028640.719,,,,45.0,48.0,
1783028640.770,,,,44.0,47.0,
1783028640.820,,,,47.5,49.0,
1783028640.873,,,,50.4,53.9,
1783028640.923,,,,45.9,49.9,
1783028640.975,,,,49.6,51.6,
1783028641.025,,,,50.6,54.6,
1783028641.076,,,,46.1,52.4,
1783028641.128,,,,45.1,49.1,
1783028641.173,,,,49.8,51.8,
1783028641.223,,,,47.1,48.7,
1783028641.276,,,,46.2,49.7,
1783028641.328,,,,51.6,54.9,
1783028641.380,,,,46.6,51.6,
1783028641.426,,,,42.0,43.0,
1783028641.479,,,,44.0,47.2,
1783028641.529,,,,44.5,48.5,
1783028641.579,,,,49.5,53.5,
1783028641.629,,,,47.0,49.0,
1783028641.681,,,,49.5,54.0,
1783028641.731,,,,48.7,48.7,
1783028641.779,,,,47.2,48.2,
1783028641.833,,,,51.0,55.5,
1783028641.884,,,,46.0,49.0,
1783028641.930,,,,48.0,49.0,
1783028641.984,,,,46.5,48.6,
1783028642.036,,,,48.4,53.0,
1783028642.090,,,,47.0,52.1,
1783028642.137,,,,50.0,52.0,
1783028642.187,,,,54.8,57.8,
1783028642.242,,,,53.6,60.6,
1783028642.296,,,,51.8,59.8,
1783028642.348,,,,53.5,61.8,
1783028642.401,,,,55.6,65.9,
1783028642.457,,,,51.8,68.4,
1783028642.508,,,,51.0,69.0,
1783028642.559,,,,48.0,65.0,
1783028642.607,,,,50.6,63.6,
1783028642.658,,,,47.6,61.6,
1783028642.706,,,,49.7,59.7,
1783028642.755,,,,50.5,60.5,
1783028642.811,,,,47.5,49.5,
1783028642.859,,,,47.0,60.0,
1783028642.906,,,,47.8,56.9,
1783028642.954,,,,46.0,52.0,
1783028643.005,,,,52.1,57.3,
1783028643.057,,,,46.7,54.7,
1783028643.104,,,,47.8,54.8,
1783028643.152,,,,44.1,46.4,
1783028643.202,,,,51.9,52.8,
1783028643.254,,,,50.4,52.4,
1783028643.304,,,,51.8,52.8,
1783028643.356,,,,52.8,54.4,
1783028643.409,,,,56.1,60.1,
1783028643.465,,,,50.6,61.0,
1783028643.516,,,,51.5,61.7,
1783028643.567,,,,51.9,63.1,
1783028643.619,,,,56.9,67.2,
1783028643.676,,,,51.3,68.6,
1783028643.727,,,,49.7,65.7,
1783028643.778,,,,55.9,75.6,
1783028643.834,,,,52.8,77.1,
1783028643.887,,,,53.4,80.1,
1783028643.941,,,,47.0,79.0,
1783028643.989,,,,46.5,73.5,
1783028644.036,,,,43.1,68.6,
1783028644.079,,,,45.2,62.5,
1783028644.124,,,,47.0,58.0,
1783028644.171,,,,50.3,56.3,
1783028644.221,,,,43.5,49.9,
1783028644.265,,,,57.4,58.4,
1783028644.322,,,,61.5,68.1,
1783028644.384,,,,43.7,63.2,
1783028644.428,,,,47.5,61.1,
1783028644.476,,,,46.2,54.7,
1783028644.522,,,,47.3,53.3,
1783028644.575,,,,44.5,49.6,
1783028644.620,,,,48.2,49.2,
1783028644.674,,,,46.7,50.7,
1783028644.726,,,,53.7,58.7,
1783028644.780,,,,53.9,55.9,
1783028644.834,,,,54.5,63.5,
1783028644.888,,,,53.3,66.5,
1783028644.943,,,,53.9,71.1,
1783028644.997,,,,55.6,71.2,
1783028645.052,,,,48.3,69.6,
1783028645.101,,,,44.0,63.0,
1783028645.145,,,,49.7,60.7,
1783028645.194,,,,46.8,57.8,
1783028645.242,,,,45.6,49.6,
1783028645.294,,,,47.0,52.4,
1783028645.341,,,,43.9,44.9,
1783028645.396,,,,46.1,50.1,
1783028645.448,,,,44.5,49.0,
1783028645.498,,,,46.5,49.5,
1783028645.550,,,,46.4,51.5,
1783028645.597,,,,53.4,54.8,
1783028645.650,,,,49.4,53.4,
1783028645.700,,,,52.0,54.0,
1783028645.752,,,,45.9,49.9,
1783028645.804,,,,49.3,54.7,
1783028645.853,,,,46.6,50.6,
1783028645.900,,,,57.2,57.2,
1783028645.957,,,,46.1,52.7,
1783028646.003,,,,49.8,51.8,
1783028646.053,,,,45.7,46.7,
1783028646.104,,,,45.9,47.9,
1783028646.156,,,,46.1,48.1,
1783028646.208,,,,49.2,50.7,
1783028646.257,,,,43.0,46.0,
1783028646.312,,,,48.7,52.2,
1783028646.361,,,,48.6,51.6,
1783028646.410,,,,48.7,49.7,
1783028646.465,,,,46.6,53.0,
1783028646.513,,,,55.0,58.0,
1783028646.568,,,,48.6,56.6,
1783028646.616,,,,47.3,53.3,
1783028646.664,,,,45.2,46.5,
1783028646.715,,,,44.1,46.2,
1783028646.765,,,,45.0,46.4,
1783028646.816,,,,43.0,47.4,
1783028646.865,,,,50.7,52.9,
1783028646.916,,,,51.3,53.3,
1783028646.967,,,,49.8,51.8,
1783028647.017,,,,52.7,52.7,
1783028647.070,,,,46.1,51.1,
1783028647.122,,,,50.0,55.5,
1783028647.172,,,,51.7,56.7,
1783028647.224,,,,49.9,56.4,
1783028647.274,,,,47.3,53.3,
1783028647.321,,,,46.0,48.0,
1783028647.373,,,,45.0,51.2,
1783028647.425,,,,45.9,49.4,
1783028647.471,,,,46.6,47.6,
1783028647.528,,,,48.3,52.0,
1783028647.577,,,,48.1,53.1,
1783028647.625,,,,49.0,50.0,
1783028647.679,,,,47.9,53.2,
1783028647.727,,,,48.5,52.3,
1783028647.776,,,,46.1,48.1,
1783028647.828,,,,48.2,49.7,
1783028647.882,,,,53.2,58.5,
1783028647.935,,,,51.8,61.8,
1783028647.988,,,,47.6,53.6,
1783028648.036,,,,49.5,56.9,
1783028648.087,,,,50.3,56.7,
1783028648.138,,,,48.5,53.5,
1783028648.186,,,,48.0,54.0,
1783028648.235,,,,52.2,54.2,
1783028648.288,,,,50.8,52.8,
1783028648.338,,,,46.7,47.7,
1783028648.391,,,,47.0,50.5,
1783028648.444,,,,46.4,51.4,
1783028648.490,,,,45.8,47.0,
1783028648.542,,,,46.0,51.3,
1783028648.595,,,,48.1,53.3,
1783028648.643,,,,45.6,49.9,
1783028648.694,,,,57.8,63.3,
1783028648.753,,,,52.0,64.3,
1783028648.805,,,,52.5,67.5,
1783028648.857,,,,53.7,68.2,
1783028648.911,,,,54.0,73.7,
1783028648.965,,,,54.0,75.0,
1783028649.019,,,,55.3,81.3,
1783028649.075,,,,50.9,81.9,
1783028649.126,,,,48.8,79.3,
1783028649.175,,,,51.4,78.3,
1783028649.227,,,,52.9,84.0,
1783028649.279,,,,53.5,81.5,
1783028649.333,,,,52.1,85.6,
1783028649.386,,,,53.8,87.0,
1783028649.439,,,,53.9,94.7,
1783028649.493,,,,54.7,97.5,
1783028649.548,,,,50.5,100.1,
1783028649.599,,,,48.0,96.5,
1783028649.647,,,,44.9,91.9,
1783028649.692,,,,60.0,100.4,
1783028649.753,,,,49.2,97.3,
1783028649.803,,,,49.0,49.0,
1783028649.858,,,,48.4,52.9,
1783028649.907,,,,50.0,51.0,
1783028649.962,,,,50.7,55.2,
1783028650.013,,,,50.5,55.0,
1783028650.064,,,,46.6,54.6,
1783028650.111,,,,49.4,50.4,
1783028650.161,,,,46.3,49.7,
1783028650.214,,,,49.2,53.1,
1783028650.263,,,,46.0,50.0,
1783028650.315,,,,49.0,52.5,
1783028650.370,,,,44.6,49.2,
1783028650.420,,,,49.1,54.4,
1783028650.469,,,,48.6,56.6,
1783028650.518,,,,46.2,54.7,
1783028650.570,,,,44.0,49.0,
1783028650.614,,,,48.6,48.6,
1783028650.669,,,,45.5,46.5,
1783028650.720,,,,51.0,53.5,
1783028650.771,,,,51.0,53.1,
1783028650.822,,,,48.9,51.6,
1783028650.877,,,,45.8,51.9,
1783028650.923,,,,48.8,52.8,
1783028650.983,,,,46.5,50.5,
1783028651.030,,,,47.3,55.3,
1783028651.083,,,,42.5,47.7,
1783028651.131,,,,45.5,51.5,
1783028651.178,,,,50.3,57.3,
1783028651.228,,,,42.7,43.7,
1783028651.277,,,,44.7,45.7,
1783028651.333,,,,45.9,50.9,
1783028651.379,,,,48.6,51.6,
1783028651.433,,,,47.4,49.9,
