epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.80812,1.68117,10.9558,0.01766,0.00072,0.08333,0.00026,0.0001,1.08751,10.8295,0.01153,8.574e-05,8.574e-05,8.574e-05
2,10.1638,1.43023,9.81694,0.0148,0.00049,0.08333,0.00049,0.00034,0.79381,10.3572,0.00821,0.000183471,0.000183471,0.000183471
3,13.8397,1.20533,9.23508,0.0133,0.00313,0.55556,0.04935,0.03827,0.81751,10.2886,0.00811,0.000278726,0.000278726,0.000278726
4,17.2322,1.05202,8.92401,0.01101,0.00579,0.80556,0.33152,0.23948,0.61625,9.96261,0.00598,0.000371506,0.000371506,0.000371506
5,20.84,0.88765,8.85875,0.00927,0.00563,0.88889,0.30814,0.24798,0.53015,9.76958,0.00483,0.00046181,0.00046181,0.00046181
6,24.26,0.84906,8.08021,0.00766,0.00496,0.88889,0.37339,0.29635,0.74979,9.58046,0.00692,0.000549638,0.000549638,0.000549638
7,27.8537,0.85698,8.71149,0.00896,0.00474,0.88889,0.39975,0.28499,0.9774,9.66921,0.00967,0.00063499,0.00063499,0.00063499
8,31.3499,1.04857,7.53425,0.00962,0.80968,0.08333,0.41545,0.28419,1.08693,9.50537,0.01066,0.000717867,0.000717867,0.000717867
9,34.8573,0.96369,8.70395,0.00892,0.77551,0.08333,0.45965,0.29346,0.97032,9.31549,0.00942,0.000798268,0.000798268,0.000798268
10,38.2251,0.79395,8.3285,0.00812,0.83193,0.08333,0.48569,0.36937,0.83199,9.03533,0.0079,0.000876193,0.000876193,0.000876193
11,41.4468,1.02787,8.19327,0.00886,0.10184,0.88889,0.50782,0.39461,0.83937,8.816,0.00836,0.000951643,0.000951643,0.000951643
12,44.7551,0.86944,7.28312,0.00765,0.78926,0.44954,0.59833,0.43653,0.90069,8.75593,0.00949,0.00102462,0.00102462,0.00102462
13,48.2945,1.06385,6.95614,0.0112,0.77776,0.38587,0.5786,0.44282,0.78343,8.51539,0.00776,0.00109511,0.00109511,0.00109511
14,51.7046,1.03156,6.58471,0.00839,0.77776,0.38587,0.5786,0.44282,0.78343,8.51539,0.00776,0.00116314,0.00116314,0.00116314
15,55.018,1.09261,6.69337,0.01126,0.84633,0.41642,0.68897,0.55225,0.88609,8.19862,0.00841,0.00118143,0.00118143,0.00118143
16,58.3794,1.02475,6.87106,0.01115,0.6435,0.58333,0.68167,0.531,0.93412,8.02396,0.00893,0.00116374,0.00116374,0.00116374
17,61.7969,1.15705,6.68312,0.01006,0.72759,0.69444,0.72704,0.59421,0.8762,7.65031,0.00853,0.00114606,0.00114606,0.00114606
18,65.1178,1.02301,6.54934,0.01056,0.54713,0.77778,0.78522,0.59861,0.92943,7.44017,0.00948,0.00112837,0.00112837,0.00112837
19,68.5575,1.08356,6.20275,0.01321,0.45855,0.75182,0.66943,0.52904,0.88572,7.20533,0.00892,0.00111069,0.00111069,0.00111069
20,71.8334,1.04879,6.63554,0.01013,0.87644,0.56869,0.75833,0.65627,0.68939,6.70713,0.00621,0.00109301,0.00109301,0.00109301
21,75.1314,1.09206,5.81501,0.01021,0.95107,0.58333,0.69831,0.56056,0.82291,6.72338,0.00775,0.00107532,0.00107532,0.00107532
22,78.4308,1.13466,5.53801,0.01041,0.95107,0.58333,0.69831,0.56056,0.82291,6.72338,0.00775,0.00105764,0.00105764,0.00105764
23,81.7965,0.93439,6.14016,0.00907,0.59934,0.66667,0.79404,0.66162,0.78491,6.45077,0.00724,0.00103995,0.00103995,0.00103995
24,85.0645,1.06483,5.6496,0.01013,0.4782,0.72222,0.7407,0.62379,0.78193,6.31116,0.00739,0.00102227,0.00102227,0.00102227
25,88.3775,1.03945,5.59223,0.00888,0.54905,0.8355,0.78915,0.65183,0.75059,6.0379,0.007,0.00100459,0.00100459,0.00100459
26,91.7167,0.92702,5.24904,0.00889,0.56825,0.85955,0.75044,0.59042,0.86208,6.05019,0.00827,0.000986903,0.000986903,0.000986903
27,95.033,0.98433,5.7319,0.00966,0.49251,0.88889,0.76509,0.58093,0.8684,6.01117,0.0084,0.000969219,0.000969219,0.000969219
28,98.4113,0.9989,5.58836,0.00918,0.45642,0.82929,0.72222,0.58851,0.73704,5.67716,0.00695,0.000951535,0.000951535,0.000951535
29,101.833,1.02424,4.90387,0.00994,0.4291,0.88889,0.74722,0.56597,0.78662,5.72844,0.00739,0.000933851,0.000933851,0.000933851
30,105.203,0.8161,5.68813,0.00937,0.4291,0.88889,0.74722,0.56597,0.78662,5.72844,0.00739,0.000916168,0.000916168,0.000916168
31,108.498,0.91221,5.40451,0.00987,0.4711,0.8681,0.85097,0.66587,0.74461,5.53945,0.00715,0.000898484,0.000898484,0.000898484
32,111.848,1.08349,5.43542,0.00977,0.46136,0.87171,0.82319,0.64812,0.77707,5.47978,0.00748,0.0008808,0.0008808,0.0008808
33,115.235,1.07921,5.55467,0.01943,0.45242,0.84814,0.80931,0.57136,1.02793,5.69014,0.01052,0.000863116,0.000863116,0.000863116
34,118.498,0.98044,4.3676,0.00815,0.45279,0.79782,0.81486,0.58256,1.08558,5.59104,0.01094,0.000845432,0.000845432,0.000845432
35,121.817,0.94659,5.04464,0.01067,0.86092,0.56322,0.82156,0.61944,0.83485,5.42219,0.00807,0.000827748,0.000827748,0.000827748
36,125.116,1.07325,5.37116,0.0126,0.90006,0.54995,0.88431,0.67549,0.82679,5.35948,0.00819,0.000810064,0.000810064,0.000810064
37,128.588,1.14547,4.45295,0.00942,0.74006,0.80556,0.88656,0.69035,0.88879,5.18567,0.00927,0.00079238,0.00079238,0.00079238
38,131.838,0.94117,4.62854,0.00905,0.74006,0.80556,0.88656,0.69035,0.88879,5.18567,0.00927,0.000774697,0.000774697,0.000774697
39,135.106,1.07193,4.95158,0.01446,0.91345,0.66996,0.92167,0.64897,0.86714,5.38608,0.00862,0.000757013,0.000757013,0.000757013
40,138.357,0.93214,4.82906,0.00959,0.78004,0.83695,0.92625,0.61515,0.97661,5.5732,0.00974,0.000739329,0.000739329,0.000739329
41,141.814,0.86196,5.01342,0.00813,0.71829,0.88889,0.90958,0.62219,0.96368,5.37672,0.00961,0.000721645,0.000721645,0.000721645
42,145.304,0.99549,4.61375,0.01039,0.74731,0.83817,0.90958,0.66555,0.88028,5.04702,0.00871,0.000703961,0.000703961,0.000703961
43,148.834,0.6788,4.47506,0.00805,0.70538,0.88889,0.91548,0.70837,0.72516,4.86445,0.00695,0.000686277,0.000686277,0.000686277
44,152.398,0.90942,4.64473,0.00889,0.73769,0.96772,0.95083,0.74049,0.75215,4.72961,0.00745,0.000668593,0.000668593,0.000668593
45,156.033,0.86934,4.47397,0.00844,0.74364,0.96718,0.92333,0.6856,0.78159,4.70112,0.00783,0.000650909,0.000650909,0.000650909
46,159.893,1.02485,3.81163,0.0092,0.74364,0.96718,0.92333,0.6856,0.78159,4.70112,0.00783,0.000633226,0.000633226,0.000633226
47,163.464,0.93214,4.65016,0.00997,0.69411,0.96214,0.87875,0.65597,0.8194,4.65431,0.00835,0.000615542,0.000615542,0.000615542
48,167.11,0.78047,4.37682,0.00833,0.66433,0.9567,0.89542,0.66951,0.91365,4.57426,0.00985,0.000597858,0.000597858,0.000597858
49,170.75,0.80084,4.30224,0.00872,0.72797,0.92183,0.89542,0.67379,0.88951,4.47517,0.0094,0.000580174,0.000580174,0.000580174
50,174.353,0.78946,3.80857,0.0077,0.74504,0.80344,0.84933,0.65954,0.81847,4.3925,0.00823,0.00056249,0.00056249,0.00056249
51,177.941,0.90421,3.87846,0.00963,0.74926,0.83811,0.84933,0.67648,0.80799,4.34409,0.00795,0.000544806,0.000544806,0.000544806
52,181.652,0.7515,3.88295,0.00802,0.73493,0.87951,0.84933,0.68735,0.7421,4.23862,0.00724,0.000527122,0.000527122,0.000527122
53,185.306,0.95214,4.20654,0.01054,0.75957,0.88889,0.83569,0.70971,0.67031,4.12491,0.0065,0.000509438,0.000509438,0.000509438
54,189.027,0.89534,4.0805,0.00869,0.75957,0.88889,0.83569,0.70971,0.67031,4.12491,0.0065,0.000491755,0.000491755,0.000491755
55,192.652,0.87243,3.85472,0.01087,0.82768,0.83709,0.85236,0.69128,0.69045,4.1081,0.00653,0.000474071,0.000474071,0.000474071
56,196.286,0.81336,4.19118,0.0097,0.86084,0.88183,0.85236,0.69398,0.83247,4.06704,0.00824,0.000456387,0.000456387,0.000456387
57,199.779,0.86403,4.09439,0.00903,0.85238,0.7965,0.85825,0.66118,0.92581,4.09309,0.00927,0.000438703,0.000438703,0.000438703
58,203.503,0.9022,3.67005,0.00981,0.76908,0.92659,0.91208,0.71172,0.8665,4.10529,0.00879,0.000421019,0.000421019,0.000421019
59,207.137,0.86428,3.71931,0.00863,0.7403,0.91518,0.91208,0.73384,0.81743,3.97689,0.00824,0.000403335,0.000403335,0.000403335
60,210.887,0.8924,3.39412,0.0112,0.6447,0.94056,0.91208,0.75954,0.81611,3.84867,0.00836,0.000385651,0.000385651,0.000385651
61,214.621,0.82039,3.40941,0.0079,0.59668,1,0.91208,0.75494,0.78418,3.82461,0.00773,0.000367967,0.000367967,0.000367967
62,218.257,1.00697,3.43479,0.01012,0.59668,1,0.91208,0.75494,0.78418,3.82461,0.00773,0.000350284,0.000350284,0.000350284
63,222.028,0.80601,3.38074,0.0076,0.59603,0.95336,0.91208,0.72432,0.75473,3.86665,0.00751,0.0003326,0.0003326,0.0003326
64,225.82,0.79035,3.57474,0.00782,0.56781,0.88889,0.86044,0.70027,0.74454,3.86376,0.00745,0.000314916,0.000314916,0.000314916
65,229.502,0.84764,3.42003,0.01012,0.54396,0.83596,0.89542,0.72935,0.74466,3.82694,0.00746,0.000297232,0.000297232,0.000297232
66,233.121,0.84472,3.46561,0.00718,0.58444,0.94008,0.89542,0.76116,0.7037,3.77501,0.00722,0.000279548,0.000279548,0.000279548
67,236.808,0.83437,3.40553,0.00672,0.55997,0.88889,0.86044,0.72544,0.74214,3.74508,0.0079,0.000261864,0.000261864,0.000261864
68,240.477,0.84753,3.30347,0.00816,0.5842,0.88889,0.87711,0.71936,0.84952,3.77923,0.00919,0.00024418,0.00024418,0.00024418
69,244.383,0.89412,3.29608,0.00978,0.64211,0.88889,0.87711,0.70406,0.92238,3.82244,0.00999,0.000226497,0.000226497,0.000226497
70,248.118,0.83769,3.12335,0.01031,0.64211,0.88889,0.87711,0.70406,0.92238,3.82244,0.00999,0.000208813,0.000208813,0.000208813
71,251.853,0.73586,4.38995,0.00813,0.70638,0.88889,0.87711,0.69212,0.97335,3.8429,0.01051,0.000191129,0.000191129,0.000191129
72,255.357,0.84847,4.42782,0.0194,0.77273,0.88889,0.90333,0.70226,0.91554,3.89134,0.00958,0.000173445,0.000173445,0.000173445
73,258.898,0.70746,4.29885,0.00847,0.86361,0.88889,0.94,0.74834,0.88573,3.84761,0.00918,0.000155761,0.000155761,0.000155761
74,262.37,0.7456,4.16871,0.00852,0.88181,0.8105,0.94,0.74098,0.92451,3.81555,0.0096,0.000138077,0.000138077,0.000138077
75,265.844,0.75088,4.36255,0.00759,0.87273,0.88636,0.92625,0.73318,0.91806,3.80364,0.0095,0.000120393,0.000120393,0.000120393
76,269.362,0.68313,4.17286,0.00808,0.865,0.88889,0.92625,0.74725,0.89608,3.78242,0.0092,0.000102709,0.000102709,0.000102709
77,272.943,0.70852,4.192,0.00778,0.86831,0.88475,0.92167,0.76233,0.84627,3.74466,0.00864,8.50255e-05,8.50255e-05,8.50255e-05
78,276.546,0.76056,4.31236,0.00838,0.86831,0.88475,0.92167,0.76233,0.84627,3.74466,0.00864,6.73416e-05,6.73416e-05,6.73416e-05
79,280.065,0.66834,4.08888,0.00779,0.86268,0.88773,0.885,0.73618,0.83281,3.733,0.00847,4.96578e-05,4.96578e-05,4.96578e-05
80,283.525,0.54929,4.26091,0.00602,0.85595,0.88889,0.92167,0.76291,0.88949,3.67271,0.00931,3.19739e-05,3.19739e-05,3.19739e-05
